ToxicParser Profiler
====================
Target: parser
Profiler: eprof
Profile type: time
Matching: all functions
File limit: 20

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 20 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 20
Total AST nodes: 20850
Total bytes: 315762
Baseline time: 881.66 ms
Throughput: 23649.0 AST nodes/sec
Throughput: 349.75 KB/sec

Running profiler (eprof, time)...

Using eprof
Warmup...


Profile results of #PID<0.195.0>
#                                                                                      CALLS    %   TIME µS/CALL
Total                                                                                1104175 100. 758662    0.07
Toxic.NormalTokenizer.Keyword.valid_do?/1                                              10128 0.00    378    0.04
ToxicParser.Grammar.EOE.annotate_eoe/2                                                  8711 0.01    385    0.04
ToxicParser.Pratt.parse_with_min_bp/4                                                  10577 0.01    403    0.04
Enum.sum/1                                                                             11526 0.01    404    0.04
ToxicParser.Grammar.Expressions.expr_list/3                                             1499 0.01    409    0.27
ToxicParser.Grammar.Blocks.block_label?/1                                              10244 0.01    437    0.04
ToxicParser.Builder.Helpers.literal/1                                                  11196 0.01    449    0.04
Enum.split/2                                                                            5202 0.01    467    0.09
ToxicParser.Grammar.Stabs.check_and_collect_stab_body/5                                 2668 0.01    481    0.18
anonymous fn/1 in ToxicParser.Grammar.CallsPrivate.finalize_call_args_parens_items/1   13250 0.01    486    0.04
ToxicParser.Grammar.Containers.parse_list_base/3                                        1947 0.01    499    0.26
ToxicParser.Grammar.Stabs.annotate_last_expr_eoe/2                                      4328 0.01    505    0.12
:erlang.binary_to_list/1                                                                 928 0.01    510    0.55
ToxicParser.Grammar.Stabs.extract_trailing_when_guard/1                                 4246 0.01    528    0.12
ToxicParser.Grammar.Strings.token_to_meta/1                                            11510 0.01    532    0.05
Toxic.NormalTokenizer.Sigil.tokenize_sigil_contents/6                                   3161 0.01    571    0.18
anonymous fn/1 in ToxicParser.Grammar.Bitstrings.finalize_bitstring_items/1            16764 0.01    602    0.04
ToxicParser.Grammar.Strings.parse_interpolation/3                                       1479 0.01    604    0.41
ToxicParser.Grammar.CallsPrivate.finalize_call_args_parens_items/1                      5428 0.01    609    0.11
Process.get/1                                                                          16817 0.01    618    0.04
ToxicParser.Grammar.Calls.parse_paren_args/4                                           15868 0.01    621    0.04
ToxicParser.Grammar.Blocks.parse_labeled_sections/5                                     2309 0.01    630    0.27
Enum.split_reverse_list/3                                                              10404 0.01    638    0.06
Toxic.InterpolationTokenizer.extract_char/9                                             8149 0.01    643    0.08
Toxic.rewind_to/2                                                                      16817 0.01    651    0.04
Toxic.NormalTokenizer.Alias.tokenize_alias/10                                          15720 0.01    654    0.04
:elixir_interpolation.unescape_string/2                                                 8136 0.01    660    0.08
ToxicParser.Grammar.Delimited.parse_items_rev/7                                        16398 0.01    663    0.04
ToxicParser.Grammar.Strings.safe_unescape/1                                             8136 0.01    668    0.08
ToxicParser.Grammar.Keywords.parse_kw_value/5                                           4013 0.01    669    0.17
ToxicParser.Grammar.Keywords.try_parse_call_args_no_parens_kw_expr/4                    1871 0.01    679    0.36
ToxicParser.Grammar.EOE.build_eoe_meta/1                                                8711 0.01    684    0.08
ToxicParser.Grammar.Strings.merge_fragments/1                                           5762 0.01    688    0.12
