ToxicParser Profiler
====================
Target: parser
Profiler: auto
Profile type: calls
Matching: all functions
File limit: 50

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 50 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 50
Total AST nodes: 90645
Total bytes: 1330661
Baseline time: 3288.15 ms
Throughput: 27567.0 AST nodes/sec
Throughput: 395.2 KB/sec

Running profiler (auto, calls)...

Using tprof for call counting (OTP 27+)
Warmup...


Profile results over all processes
#                                                                                        CALLS      %
Total                                                                                423010958 100.00
ToxicParser.Grammar.Stabs.unwrap_splice/1                                                23944   0.01
ToxicParser.Grammar.Stabs.token_meta/1                                                   24026   0.01
ToxicParser.Grammar.Blocks.try_parse_clause/4                                            26014   0.01
ToxicParser.Grammar.Stabs.annotate_last_expr_eoe/2                                       26480   0.01
Enum.filter_list/2                                                                       26654   0.01
ToxicParser.Grammar.Stabs.collect_stab_body_exprs/5                                      27132   0.01
Enum.split/2                                                                             27206   0.01
ToxicParser.Grammar.Calls.maybe_nested_call/4                                            30162   0.01
ToxicParser.Grammar.Calls.parse_paren_args/4                                             30162   0.01
ToxicParser.Grammar.Containers.parse_tuple/4                                             30201   0.01
ToxicParser.Grammar.Keywords.try_parse_call_args_no_parens_kw/3                          30239   0.01
ToxicParser.Grammar.Keywords.try_parse_call_args_no_parens_kw/4                          30243   0.01
ToxicParser.Builder.Helpers.literal/1                                                    31186   0.01
ToxicParser.Grammar.Strings.token_to_meta/1                                              31696   0.01
ToxicParser.Grammar.CallsPrivate.finalize_call_args_parens_items/1                       31740   0.01
ToxicParser.Grammar.CallsPrivate.parse_call_args_parens_list/3                           31740   0.01
anonymous fn/3 in ToxicParser.Grammar.CallsPrivate.parse_call_args_parens/3              31740   0.01
ToxicParser.Grammar.DoBlocks.starts_no_parens_arg?/1                                     34345   0.01
Toxic.NormalTokenizer.String.handle_strings/6                                            35557   0.01
ToxicParser.Grammar.DoBlocks.allow_no_parens?/2                                          36729   0.01
ToxicParser.Grammar.DoBlocks.handle_identifier/9                                         36729   0.01
ToxicParser.Grammar.DoBlocks.maybe_parse_no_parens/7                                     36729   0.01
ToxicParser.Grammar.Blocks.handle_section_item/6                                         37298   0.01
ToxicParser.Pratt.maybe_nested_call_or_do_block/6                                        38798   0.01
anonymous fn/2 in ToxicParser.State.line_index/1                                         42527   0.01
Toxic.NormalTokenizer.Keyword.valid_do?/1                                                42765   0.01
ToxicParser.Grammar.Containers.finalize_tuple_items/1                                    43401   0.01
ToxicParser.Grammar.Containers.parse_tuple_args/3                                        43401   0.01
ToxicParser.Grammar.Containers.parse_tuple_base/3                                        43401   0.01
ToxicParser.Grammar.EOE.annotate_eoe/2                                                   43906   0.01
ToxicParser.Grammar.EOE.build_eoe_meta/1                                                 43918   0.01
ToxicParser.Grammar.Stabs.parse_stab_clause_after_patterns/6                             44912   0.01
ToxicParser.Grammar.Stabs.parse_stab_patterns/4                                          44912   0.01
ToxicParser.Grammar.Stabs.try_parse_stab_clause/4                                        44912   0.01
ToxicParser.Grammar.Stabs.parse_stab_pattern_expr/2                                      46522   0.01
ToxicParser.Grammar.Stabs.parse_stab_pattern_exprs/4                                     46522   0.01
ToxicParser.Pratt.parse_rhs_identifier/6                                                 47389   0.01
ToxicParser.Grammar.Strings.collect_parts/5                                              47882   0.01
ToxicParser.Grammar.Blocks.block_label?/1                                                48582   0.01
ToxicParser.Grammar.Blocks.parse_section_items/5                                         48582   0.01
ToxicParser.Grammar.Blocks.stop_token?/2                                                 48582   0.01
Enum.sum/1                                                                               49405   0.01
ToxicParser.Pratt.parse_with_min_bp/4                                                    50441   0.01
Enum.predicate_list/3                                                                    53860   0.01
Enum.split_reverse_list/3                                                                54412   0.01
Toxic.Driver.Contexts.compute_start_info/4                                               56741   0.01
Toxic.Driver.Contexts.delimiter_charlist/1                                               56741   0.01
